Structure [idcode]	MolRegNo	m	Value	Unit	Type	pValue	Ligand Efficiency	Binding Efficiency	Surface Efficiency	Assay Category	Assay Organism	Target ID	Target Name	Target Organism	Target Description	Sequence Accession	Reference	Pubmed ID	DOI	
ffcaB@LH@DYEDhhiddiidS^]DmVj`@@@`@@@@ !ByzKWw_z@MwqH`g_|?dBW@va]?hCw@h}|lIJHxc_]olC~@D`}}tJowOz@	134040		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fhaQP@B\@bw`yEMHdXdhPYsUU@DQCA@@ !B?k|wOZa]WV\hH`IW@e_pOTab?g}HGT`}jDK~_zc}|Vt	674699		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fhaQP@B\@bw`yEMHdXdhPYsUU@DQCA@@ !B?k|wOZa]WV\hH`IW@e_pOTab?g}HGT`}jDK~_zc}|Vt	674699		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fcqa@BVByoPRFyCHhheDddhmMihd\rQ`~SM\DEETuTC@QH@@ !BbOw~_xc|m?vH?Xc}m?s~_xc|bOrw?[_}bOw~@Hc}?g?~_xc|bOrw?Xc}bOw~@Oy??g~H?_y?	58326		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fcqa@BVByoPRFyCHhheDddhmMihd\rQ`~SM\DEETuTC@QH@@ !BbOw~_xc|m?vH?Xc}m?s~_xc|bOrw?[_}bOw~@Hc}?g?~_xc|bOrw?Xc}bOw~@Oy??g~H?_y?	58326		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
ehRVBH@LKHdmchDLi`@cIICEDdeieEdeDdh]eKCOJnmcej`hJIjiffjb`@@ !BwVbBZBc}y?wH?Oy_ErK~_vc}rMtWWQ]]?e~g?Oy?FItWo_zPiutW`a]|etK~XA|U?jBWwQ?ZHuc~gwTpE{uW``	410802		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
ehRVBH@LKHdmchDLi`@cIICEDdeieEdeDdh]eKCOJnmcej`hJIjiffjb`@@ !BwVbBZBc}y?wH?Oy_ErK~_vc}rMtWWQ]]?e~g?Oy?FItWo_zPiutW`a]|etK~XA|U?jBWwQ?ZHuc~gwTpE{uW``	410802		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fheP@@@FrRJIJIXiIdnJt[pZjjjjjjIB`aCBMT@@ !B?iclx~mM{NskLic~zsJX?hE?ztwl{NscyDwdLnPryDt	11265		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fheP@@@FrRJIJIXiIdnJt[pZjjjjjjIB`aCBMT@@ !B?iclx~mM{NskLic~zsJX?hE?ztwl{NscyDwdLnPryDt	11265		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
dSzQdHQ@@D`xALRT}OKFkb@p\J`XvKbd]Lq\_@JBPaJRTmHrVcizabYfycYvKnz^W`BHwH`hRDaDQDcHRDQHQHQHQHRDrDRDcDRDaDaHQLRDaDRDRBQHrDaHQD`badQAQHSHQDQDPlaLaDIHRDaHsHRLPf@PBF`dCFStUNr|\fJJRihjvfjzAjZvShynGmzBBHJ`jhjfjjijhIjjjj`Zf@Fib`B`HiBjJjjXJjb`JbBHNbPe`haEBzILQxbHbQLbyHJITPXnq_dndcPVfmKZ^rSd@@ !B?avMN^Hy[T[~g_z]kSfr^]IyKT[~g^HF?gw~?BtyKWdb^\vyDkdbzFuF?iw~_YQhf@kmanKz?ev@pv@akSdmnUJy`KTiWXAu?cVMnVuyJLPI@dcDsT[~gVvF?evRadRJ~jsluUrN?ew~?ZpUHBEJk_z\MG[~hjtysWg~@jvytaTujbHN?bNr^VuysWdR^T{MXkizL`fMHeh}^oz]sX[~W_{}?ow~w_{][Wfmn\uydgfM^TtEtggbA_y}?ew~?_{}?mu~^zwFkWgR^QIyVuUs^vui[PY?foxM{{kmioz}kWg~?CO{wTg~[YvyDog~wRtF]\ZeEbuy	1542343		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
